LP.	Data	Typ instrumentu	Nazwa	ISIN	Kurs otwarcia	Kurs maksymalny	Kurs minimalny	Kurs zamkniecia	Zmiana	Wolumen obrotu	Liczba transakcji	Wartosc obrotu w tys. zl	Liczba otwartych pozycji	Wartosc otwartych pozycji w mln zl	Cena nominalna obligacji	Waluta
235	2014-12-05	10	LOTOS	PLLOTOS00025	27,05	27,07	26,9	27,05	0,56	313849	589	8471,48	0	0	0	PLN
236	2014-12-08	10	LOTOS	PLLOTOS00025	27,05	27,33	26,65	26,99	-0,22	366653	1255	9936,63	0	0	0	PLN
237	2014-12-09	10	LOTOS	PLLOTOS00025	26,75	27	26,65	26,97	-0,07	218501	1035	5858,31	0	0	0	PLN
238	2014-12-10	10	LOTOS	PLLOTOS00025	26,95	26,95	26,09	26,11	-3,19	379193	1941	10050,07	0	0	0	PLN
239	2014-12-11	10	LOTOS	PLLOTOS00025	26,05	26,22	25,62	25,95	-0,61	279066	1144	7232,1	0	0	0	PLN
240	2014-12-12	10	LOTOS	PLLOTOS00025	26	26	25,06	25,3	-2,5	284540	1270	7210,73	0	0	0	PLN
241	2014-12-15	10	LOTOS	PLLOTOS00025	25,35	25,87	24,9	24,97	-1,3	371615	1171	9376,23	0	0	0	PLN
242	2014-12-16	10	LOTOS	PLLOTOS00025	24,9	25	24,05	24,38	-2,36	324748	1438	7932,47	0	0	0	PLN
243	2014-12-17	10	LOTOS	PLLOTOS00025	24,66	25,4	24,45	25,4	4,18	361147	990	9015,22	0	0	0	PLN
244	2014-12-18	10	LOTOS	PLLOTOS00025	25,52	25,95	24,77	25,25	-0,59	477196	1602	12106,2	0	0	0	PLN
245	2014-12-19	10	LOTOS	PLLOTOS00025	25,41	25,9	25	25,9	2,57	705822	2706	18129,52	0	0	0	PLN
246	2014-12-22	10	LOTOS	PLLOTOS00025	25,61	26,1	25,2	25,9	0	280761	929	7210,08	0	0	0	PLN
247	2014-12-23	10	LOTOS	PLLOTOS00025	25,35	26,1	25,35	26,05	0,58	307509	995	7983,37	0	0	0	PLN
248	2014-12-29	10	LOTOS	PLLOTOS00025	26,1	26,1	25,65	25,9	-0,58	84824	346	2195,87	0	0	0	PLN
249	2014-12-30	10	LOTOS	PLLOTOS00025	25,88	26	25,5	25,5	-1,54	143971	396	3689,33	0	0	0	PLN
250	2015-01-02	10	LOTOS	PLLOTOS00025	25,45	26	25,45	25,86	1,41	95376	602	2471,37	0	0	0	PLN
251	2015-01-05	10	LOTOS	PLLOTOS00025	25,87	26	25,44	25,7	-0,62	87322	652	2245,62	0	0	0	PLN
252	2015-01-07	10	LOTOS	PLLOTOS00025	26	26,56	25,46	26,56	3,35	383598	1176	10043,89	0	0	0	PLN
253	2015-01-08	10	LOTOS	PLLOTOS00025	26,58	27	26,32	27	1,66	279601	1117	7462,08	0	0	0	PLN
254	2015-01-09	10	LOTOS	PLLOTOS00025	27	27	26,48	26,7	-1,11	211380	1461	5642,23	0	0	0	PLN
255	2015-01-12	10	LOTOS	PLLOTOS00025	26,64	26,83	26,21	26,47	-0,86	142012	810	3751,47	0	0	0	PLN
256	2015-01-13	10	LOTOS	PLLOTOS00025	26,3	26,63	26,12	26,39	-0,3	371225	1018	9813,3	0	0	0	PLN
257	2015-01-14	10	LOTOS	PLLOTOS00025	26,28	26,28	24,86	24,9	-5,65	438265	1693	11074,3	0	0	0	PLN
258	2015-01-15	10	LOTOS	PLLOTOS00025	25,19	25,19	24,15	24,32	-2,33	442159	1664	10887,5	0	0	0	PLN
259	2015-01-16	10	LOTOS	PLLOTOS00025	24,31	25,27	24,2	24,6	1,15	1242277	1136	30456,99	0	0	0	PLN
260	2015-01-19	10	LOTOS	PLLOTOS00025	24,7	24,8	24,05	24,13	-1,91	370967	1294	9017,8	0	0	0	PLN
261	2015-01-20	10	LOTOS	PLLOTOS00025	24,2	24,27	23,91	24,1	-0,12	359826	1141	8646,8	0	0	0	PLN
262	2015-01-21	10	LOTOS	PLLOTOS00025	24,09	24,39	24	24,38	1,16	246690	955	5975,09	0	0	0	PLN
263	2015-01-22	10	LOTOS	PLLOTOS00025	24,43	25,29	24,4	25,2	3,36	428100	1396	10645,32	0	0	0	PLN
264	2015-01-23	10	LOTOS	PLLOTOS00025	25,35	25,37	24,5	24,74	-1,83	342599	1550	8468,07	0	0	0	PLN
265	2015-01-26	10	LOTOS	PLLOTOS00025	24,68	24,83	24,32	24,36	-1,54	255765	858	6245,13	0	0	0	PLN
266	2015-01-27	10	LOTOS	PLLOTOS00025	24,36	24,93	24,31	24,4	0,16	301006	689	7413,92	0	0	0	PLN
267	2015-01-28	10	LOTOS	PLLOTOS00025	24,59	24,59	23,9	23,9	-2,05	240876	1378	5792,46	0	0	0	PLN
268	2015-01-29	10	LOTOS	PLLOTOS00025	24	24	23,53	23,83	-0,29	357717	1051	8486,83	0	0	0	PLN
269	2015-01-30	10	LOTOS	PLLOTOS00025	23,96	24,44	23,81	24,44	2,56	233046	779	5626,71	0	0	0	PLN
270	2015-02-02	10	LOTOS	PLLOTOS00025	24,48	24,98	24,46	24,6	0,65	344853	946	8519,44	0	0	0	PLN
271	2015-02-03	10	LOTOS	PLLOTOS00025	24,83	24,83	24,37	24,37	-0,93	151909	595	3735,23	0	0	0	PLN
272	2015-02-04	10	LOTOS	PLLOTOS00025	24,4	24,58	24,03	24,35	-0,08	324624	1270	7892,44	0	0	0	PLN
273	2015-02-05	10	LOTOS	PLLOTOS00025	24,2	24,29	23,85	24,28	-0,29	427791	1292	10320,69	0	0	0	PLN
274	2015-02-06	10	LOTOS	PLLOTOS00025	24,29	24,81	24,11	24,68	1,65	211809	1026	5212,97	0	0	0	PLN
275	2015-02-09	10	LOTOS	PLLOTOS00025	24,55	24,88	24,42	24,5	-0,73	200012	1030	4910,72	0	0	0	PLN
276	2015-02-10	10	LOTOS	PLLOTOS00025	24,68	24,68	24,3	24,5	0	165031	872	4038,86	0	0	0	PLN
277	2015-02-11	10	LOTOS	PLLOTOS00025	24,5	24,55	23,86	23,86	-2,61	291997	1096	7015,11	0	0	0	PLN
278	2015-02-12	10	LOTOS	PLLOTOS00025	24,48	24,5	23,94	24,49	2,64	459770	1118	11091,91	0	0	0	PLN
279	2015-02-13	10	LOTOS	PLLOTOS00025	24,5	24,72	24,5	24,72	0,94	188337	997	4638,96	0	0	0	PLN
280	2015-02-16	10	LOTOS	PLLOTOS00025	24,72	24,74	24,5	24,57	-0,61	59642	445	1469,73	0	0	0	PLN
281	2015-02-17	10	LOTOS	PLLOTOS00025	24,54	24,9	24,23	24,75	0,73	195304	1334	4798,6	0	0	0	PLN
282	2015-02-18	10	LOTOS	PLLOTOS00025	24,9	25,39	24,82	25,2	1,82	342999	1311	8601,64	0	0	0	PLN
283	2015-02-19	10	LOTOS	PLLOTOS00025	25,2	25,7	25,01	25,05	-0,6	176004	779	4452,84	0	0	0	PLN
284	2015-02-20	10	LOTOS	PLLOTOS00025	25,05	25,24	24,9	25,21	0,64	114615	654	2877,78	0	0	0	PLN
285	2015-02-23	10	LOTOS	PLLOTOS00025	25,21	25,38	24,92	25	-0,83	143862	867	3614,59	0	0	0	PLN
286	2015-02-24	10	LOTOS	PLLOTOS00025	25,1	25,29	24,18	24,18	-3,28	400753	2880	9898,66	0	0	0	PLN
287	2015-02-25	10	LOTOS	PLLOTOS00025	24,2	24,53	24,2	24,32	0,58	129431	756	3157,15	0	0	0	PLN
288	2015-02-26	10	LOTOS	PLLOTOS00025	24,41	25	24,41	25	2,8	194835	1112	4831,05	0	0	0	PLN
289	2015-02-27	10	LOTOS	PLLOTOS00025	25,12	26,05	25,09	26,04	4,16	675002	2721	17414,08	0	0	0	PLN
290	2015-03-02	10	LOTOS	PLLOTOS00025	26,04	26,04	25,41	25,41	-2,42	345251	2204	8868,69	0	0	0	PLN
291	2015-03-03	10	LOTOS	PLLOTOS00025	25,4	25,54	24,9	25	-1,61	386681	2655	9704,02	0	0	0	PLN
292	2015-03-04	10	LOTOS	PLLOTOS00025	25,15	25,8	25	25,48	1,92	328560	1838	8343,72	0	0	0	PLN
293	2015-03-05	10	LOTOS	PLLOTOS00025	25,5	26,55	25,5	26,4	3,61	953518	4938	25129,73	0	0	0	PLN
294	2015-03-06	10	LOTOS	PLLOTOS00025	26,4	26,9	25,83	26,68	1,06	665996	1880	17708,61	0	0	0	PLN
295	2015-03-09	10	LOTOS	PLLOTOS00025	26,68	27,3	26,55	27	1,2	831283	2525	22514,97	0	0	0	PLN
296	2015-03-10	10	LOTOS	PLLOTOS00025	27,2	27,28	26,56	26,78	-0,81	674267	2780	18227,27	0	0	0	PLN
297	2015-03-11	10	LOTOS	PLLOTOS00025	26,78	26,88	25,9	26,24	-2,02	623550	2553	16434,72	0	0	0	PLN
298	2015-03-12	10	LOTOS	PLLOTOS00025	26,33	26,75	26,11	26,46	0,84	358355	1933	9438,43	0	0	0	PLN
299	2015-03-13	10	LOTOS	PLLOTOS00025	26,43	26,45	25,5	25,5	-3,63	383773	2388	9927,28	0	0	0	PLN
300	2015-03-16	10	LOTOS	PLLOTOS00025	25,72	25,74	25,12	25,47	-0,12	404305	2294	10306,44	0	0	0	PLN
301	2015-03-17	10	LOTOS	PLLOTOS00025	25,5	25,69	25,15	25,15	-1,26	617855	1966	15591,22	0	0	0	PLN
302	2015-03-18	10	LOTOS	PLLOTOS00025	25,2	25,3	24,95	25,25	0,4	799576	1789	20144,82	0	0	0	PLN
303	2015-03-19	10	LOTOS	PLLOTOS00025	25,33	25,65	25,2	25,2	-0,2	576014	2356	14624,84	0	0	0	PLN
304	2015-03-20	10	LOTOS	PLLOTOS00025	25,47	26	25,16	26	3,17	3311373	3343	85808,1	0	0	0	PLN
305	2015-03-23	10	LOTOS	PLLOTOS00025	26,16	26,39	25,63	26,3	1,15	336724	2037	8779,83	0	0	0	PLN
306	2015-03-24	10	LOTOS	PLLOTOS00025	26,36	26,36	25,76	26,15	-0,57	244968	1134	6400,69	0	0	0	PLN
307	2015-03-25	10	LOTOS	PLLOTOS00025	26	27,37	25,88	27,25	4,21	1025893	2750	27544	0	0	0	PLN
308	2015-03-26	10	LOTOS	PLLOTOS00025	27,2	27,8	26,53	26,97	-1,03	1131991	3115	30675,51	0	0	0	PLN
309	2015-03-27	10	LOTOS	PLLOTOS00025	27,01	27,78	27,01	27,61	2,37	1248628	2900	34416,53	0	0	0	PLN
310	2015-03-30	10	LOTOS	PLLOTOS00025	27,6	27,6	27,06	27,1	-1,85	324521	1017	8833,02	0	0	0	PLN
311	2015-03-31	10	LOTOS	PLLOTOS00025	27,15	27,37	26,8	27,08	-0,07	470032	1403	12722,43	0	0	0	PLN
312	2015-04-01	10	LOTOS	PLLOTOS00025	27,03	27,25	26,82	27,09	0,04	332800	1471	9015,81	0	0	0	PLN
313	2015-04-02	10	LOTOS	PLLOTOS00025	27,15	28,55	27,05	28,18	4,02	964999	2619	27017,87	0	0	0	PLN
314	2015-04-07	10	LOTOS	PLLOTOS00025	28,5	30,49	28,38	30	6,46	1081573	2785	32043,53	0	0	0	PLN
315	2015-04-08	10	LOTOS	PLLOTOS00025	29,99	30,18	29,31	29,31	-2,3	621749	1775	18434,14	0	0	0	PLN
316	2015-04-09	10	LOTOS	PLLOTOS00025	29,18	30,7	29,05	30,7	4,74	703339	1890	21041,43	0	0	0	PLN
317	2015-04-10	10	LOTOS	PLLOTOS00025	30,81	31,31	30,08	30,4	-0,98	947190	1860	29253,42	0	0	0	PLN
318	2015-04-13	10	LOTOS	PLLOTOS00025	30,4	30,8	30,24	30,32	-0,26	203643	826	6191,8	0	0	0	PLN
319	2015-04-14	10	LOTOS	PLLOTOS00025	30,58	30,88	30,51	30,7	1,25	187682	1027	5759,01	0	0	0	PLN
320	2015-04-15	10	LOTOS	PLLOTOS00025	30,75	30,91	30,63	30,75	0,16	179878	957	5544,33	0	0	0	PLN
321	2015-04-16	10	LOTOS	PLLOTOS00025	30,88	30,88	29,8	30,5	-0,81	570605	2445	17278,68	0	0	0	PLN
322	2015-04-17	10	LOTOS	PLLOTOS00025	30,2	30,39	29,45	29,67	-2,72	443355	1110	13234,6	0	0	0	PLN
323	2015-04-20	10	LOTOS	PLLOTOS00025	29,51	30,35	29,51	30,35	2,29	366560	1806	11058,68	0	0	0	PLN
324	2015-04-21	10	LOTOS	PLLOTOS00025	30,35	30,64	30,06	30,4	0,16	362846	1370	11008,6	0	0	0	PLN
325	2015-04-22	10	LOTOS	PLLOTOS00025	30,3	30,3	29,27	30	-1,32	492578	2506	14674,48	0	0	0	PLN
326	2015-04-23	10	LOTOS	PLLOTOS00025	30,01	30,15	29,45	29,5	-1,67	430912	1956	12764,86	0	0	0	PLN
327	2015-04-24	10	LOTOS	PLLOTOS00025	29,5	29,9	29,5	29,77	0,92	455935	1026	13522,9	0	0	0	PLN
328	2015-04-27	10	LOTOS	PLLOTOS00025	29,7	30,75	29,7	30,69	3,09	450205	1313	13725,73	0	0	0	PLN
329	2015-04-28	10	LOTOS	PLLOTOS00025	30,71	31,2	30,7	31	1,01	349976	1069	10829,35	0	0	0	PLN
330	2015-04-29	10	LOTOS	PLLOTOS00025	30,99	31,25	29,5	30,61	-1,26	531833	1456	16440	0	0	0	PLN
331	2015-04-30	10	LOTOS	PLLOTOS00025	30,5	31,14	30,48	30,79	0,59	479593	1267	14778,65	0	0	0	PLN
332	2015-05-04	10	LOTOS	PLLOTOS00025	30,71	31,75	30,7	31,59	2,6	290449	1029	9112,17	0	0	0	PLN
333	2015-05-05	10	LOTOS	PLLOTOS00025	31,7	31,7	30,9	30,9	-2,18	163276	793	5099,45	0	0	0	PLN
334	2015-05-06	10	LOTOS	PLLOTOS00025	30,7	31,2	30,45	31	0,32	159530	776	4928,88	0	0	0	PLN
335	2015-05-07	10	LOTOS	PLLOTOS00025	30,9	30,9	30,35	30,43	-1,84	151659	560	4625,16	0	0	0	PLN
336	2015-05-08	10	LOTOS	PLLOTOS00025	30,5	30,94	30,46	30,94	1,68	153746	708	4716,92	0	0	0	PLN
337	2015-05-11	10	LOTOS	PLLOTOS00025	30,94	30,98	30,42	30,95	0,03	193028	590	5919,35	0	0	0	PLN
338	2015-05-12	10	LOTOS	PLLOTOS00025	30,95	30,95	30,36	30,9	-0,16	219339	834	6720,12	0	0	0	PLN
339	2015-05-13	10	LOTOS	PLLOTOS00025	30,89	30,89	30,55	30,73	-0,55	132601	487	4077,32	0	0	0	PLN
340	2015-05-14	10	LOTOS	PLLOTOS00025	30,67	30,67	30	30	-2,38	133157	608	4024,51	0	0	0	PLN
341	2015-05-15	10	LOTOS	PLLOTOS00025	30	30,23	29,75	30	0	163682	563	4912,06	0	0	0	PLN
342	2015-05-18	10	LOTOS	PLLOTOS00025	30	30,15	29,76	29,8	-0,67	127571	751	3826,96	0	0	0	PLN
343	2015-05-19	10	LOTOS	PLLOTOS00025	30,2	31,09	30,05	30,8	3,36	610923	1151	18829,22	0	0	0	PLN
344	2015-05-20	10	LOTOS	PLLOTOS00025	30,99	31,26	30,57	31,1	0,97	197772	761	6119,74	0	0	0	PLN
345	2015-05-21	10	LOTOS	PLLOTOS00025	31,27	31,27	30,8	31,19	0,29	128616	829	4000,22	0	0	0	PLN
346	2015-05-22	10	LOTOS	PLLOTOS00025	31,2	31,25	30,55	30,73	-1,47	143471	624	4409,38	0	0	0	PLN
347	2015-05-25	10	LOTOS	PLLOTOS00025	30,5	30,7	29,9	30,29	-1,43	78489	456	2371,15	0	0	0	PLN
348	2015-05-26	10	LOTOS	PLLOTOS00025	30,26	30,89	30,2	30,24	-0,17	178672	1292	5458,38	0	0	0	PLN
349	2015-05-27	10	LOTOS	PLLOTOS00025	30,28	30,65	30,28	30,61	1,22	125767	835	3833,04	0	0	0	PLN
350	2015-05-28	10	LOTOS	PLLOTOS00025	30,52	30,64	29,9	29,92	-2,25	136527	686	4126,74	0	0	0	PLN
351	2015-05-29	10	LOTOS	PLLOTOS00025	29,97	30,47	29,81	30,21	0,97	431115	1344	13022,55	0	0	0	PLN
352	2015-06-01	10	LOTOS	PLLOTOS00025	30,21	30,53	30,04	30,16	-0,17	183407	1952	5540,7	0	0	0	PLN
353	2015-06-02	10	LOTOS	PLLOTOS00025	30,29	30,49	29,53	30,27	0,36	266152	2957	7984,14	0	0	0	PLN
354	2015-06-03	10	LOTOS	PLLOTOS00025	30,2	30,49	29,8	30,14	-0,43	224060	2603	6755,3	0	0	0	PLN
355	2015-06-05	10	LOTOS	PLLOTOS00025	29,61	30,03	29,12	29,25	-2,95	206595	1566	6083,76	0	0	0	PLN
356	2015-06-08	10	LOTOS	PLLOTOS00025	29,19	29,9	29,12	29,39	0,48	171278	1699	5054,97	0	0	0	PLN
357	2015-06-09	10	LOTOS	PLLOTOS00025	29,3	29,39	28,02	28,31	-3,67	371093	2522	10611,05	0	0	0	PLN
358	2015-06-10	10	LOTOS	PLLOTOS00025	28,5	28,79	28,47	28,47	0,57	201229	1323	5763,07	0	0	0	PLN
359	2015-06-11	10	LOTOS	PLLOTOS00025	28,5	29,4	28,5	29,39	3,23	131741	1585	3833,74	0	0	0	PLN
360	2015-06-12	10	LOTOS	PLLOTOS00025	29,36	29,36	29,11	29,3	-0,31	55526	495	1622,39	0	0	0	PLN
361	2015-06-15	10	LOTOS	PLLOTOS00025	29,33	29,4	28,72	29,39	0,31	167350	1178	4885,91	0	0	0	PLN
362	2015-06-16	10	LOTOS	PLLOTOS00025	29,3	29,3	28,8	29,25	-0,48	74570	605	2167	0	0	0	PLN
363	2015-06-17	10	LOTOS	PLLOTOS00025	29,1	29,45	28,5	28,6	-2,22	223577	1937	6493,36	0	0	0	PLN
364	2015-06-18	10	LOTOS	PLLOTOS00025	28,52	28,65	27,81	28,65	0,17	267807	1581	7556,53	0	0	0	PLN
365	2015-06-19	10	LOTOS	PLLOTOS00025	28,89	29,14	28,58	28,58	-0,24	334652	1729	9620,47	0	0	0	PLN
366	2015-06-22	10	LOTOS	PLLOTOS00025	28,8	29,73	28,51	29,6	3,57	119727	1385	3503,01	0	0	0	PLN
367	2015-06-23	10	LOTOS	PLLOTOS00025	29,69	29,95	29,55	29,6	0	144064	952	4289,89	0	0	0	PLN
368	2015-06-24	10	LOTOS	PLLOTOS00025	29,7	29,87	29,15	29,79	0,64	145063	2219	4285,63	0	0	0	PLN
369	2015-06-25	10	LOTOS	PLLOTOS00025	29,66	30,3	29,52	30,13	1,14	436098	2200	13098,27	0	0	0	PLN
370	2015-06-26	10	LOTOS	PLLOTOS00025	30,1	30,5	29,75	30,43	1	242800	2629	7308,43	0	0	0	PLN
371	2015-06-29	10	LOTOS	PLLOTOS00025	29,01	30,2	28,62	29,6	-2,73	295805	2816	8781,32	0	0	0	PLN
372	2015-06-30	10	LOTOS	PLLOTOS00025	29,6	30	29,23	30	1,35	272167	1251	8102,53	0	0	0	PLN
373	2015-07-01	10	LOTOS	PLLOTOS00025	30	30	28,81	28,91	-3,63	453221	2368	13315,43	0	0	0	PLN
374	2015-07-02	10	LOTOS	PLLOTOS00025	28,91	29,1	28,61	29	0,31	227154	1365	6559,03	0	0	0	PLN
375	2015-07-03	10	LOTOS	PLLOTOS00025	29,15	29,22	28,83	29,11	0,38	88136	677	2557,47	0	0	0	PLN
376	2015-07-06	10	LOTOS	PLLOTOS00025	28,75	29	28,73	28,9	-0,72	50847	370	1465,45	0	0	0	PLN
377	2015-07-07	10	LOTOS	PLLOTOS00025	28,9	29,44	28,9	29,11	0,73	98644	669	2870,02	0	0	0	PLN
378	2015-07-08	10	LOTOS	PLLOTOS00025	28,9	29,1	28,69	29	-0,38	145398	667	4204,71	0	0	0	PLN
379	2015-07-09	10	LOTOS	PLLOTOS00025	29	29	28,27	28,65	-1,21	157984	1273	4530,67	0	0	0	PLN
380	2015-07-10	10	LOTOS	PLLOTOS00025	28,85	29,32	28,7	29,3	2,27	115245	1031	3357,52	0	0	0	PLN
381	2015-07-13	10	LOTOS	PLLOTOS00025	29,25	29,72	29,2	29,42	0,41	239230	3059	7046,99	0	0	0	PLN
382	2015-07-14	10	LOTOS	PLLOTOS00025	29,35	29,8	29,19	29,8	1,29	156781	1224	4639,97	0	0	0	PLN
383	2015-07-15	10	LOTOS	PLLOTOS00025	29,8	30,38	29,21	30,38	1,95	172567	1419	5169,42	0	0	0	PLN
384	2015-07-16	10	LOTOS	PLLOTOS00025	30,37	31	30,21	31	2,04	311822	3076	9551,46	0	0	0	PLN
385	2015-07-17	10	LOTOS	PLLOTOS00025	30,99	31,1	30,22	30,8	-0,65	274053	2211	8438,18	0	0	0	PLN
386	2015-07-20	10	LOTOS	PLLOTOS00025	30,67	31,6	30,67	31,34	1,75	287716	2048	8998,43	0	0	0	PLN
387	2015-07-21	10	LOTOS	PLLOTOS00025	31,63	32,27	31,45	32,25	2,9	409455	2109	13052,6	0	0	0	PLN
388	2015-07-22	10	LOTOS	PLLOTOS00025	32,29	32,4	31,77	31,95	-0,93	535961	2235	17223,69	0	0	0	PLN
389	2015-07-23	10	LOTOS	PLLOTOS00025	31,75	31,75	30,55	31,55	-1,25	230271	1403	7169,28	0	0	0	PLN
390	2015-07-24	10	LOTOS	PLLOTOS00025	31,79	31,95	31,35	31,8	0,79	222017	1281	7032,35	0	0	0	PLN
391	2015-07-27	10	LOTOS	PLLOTOS00025	31,88	31,88	31,14	31,4	-1,26	123732	1376	3894,65	0	0	0	PLN
392	2015-07-28	10	LOTOS	PLLOTOS00025	31,27	31,67	31,12	31,12	-0,89	182641	2087	5725,33	0	0	0	PLN
393	2015-07-29	10	LOTOS	PLLOTOS00025	31,11	31,64	31,1	31,45	1,06	269864	1392	8478,67	0	0	0	PLN
394	2015-07-30	10	LOTOS	PLLOTOS00025	31,42	31,64	31,08	31,17	-0,89	268928	1506	8414,01	0	0	0	PLN
395	2015-07-31	10	LOTOS	PLLOTOS00025	31,05	31,5	31,05	31,5	1,06	239790	1130	7521,99	0	0	0	PLN
396	2015-08-03	10	LOTOS	PLLOTOS00025	31,5	31,5	30,89	31,15	-1,11	209580	1432	6552,17	0	0	0	PLN
397	2015-08-04	10	LOTOS	PLLOTOS00025	31,2	32	29,1	31,64	1,57	577342	1958	17876,3	0	0	0	PLN
398	2015-08-05	10	LOTOS	PLLOTOS00025	31,79	31,83	31,22	31,7	0,19	469708	2301	14784,34	0	0	0	PLN
399	2015-08-06	10	LOTOS	PLLOTOS00025	31,63	31,63	31,1	31,4	-0,95	208168	1322	6531,55	0	0	0	PLN
400	2015-08-07	10	LOTOS	PLLOTOS00025	31,45	31,65	31,16	31,45	0,16	93487	809	2938,14	0	0	0	PLN
401	2015-08-10	10	LOTOS	PLLOTOS00025	31,5	31,84	31,5	31,8	1,11	253793	776	8036,49	0	0	0	PLN
402	2015-08-11	10	LOTOS	PLLOTOS00025	32,5	33	32,4	32,5	2,2	434737	2570	14183,87	0	0	0	PLN
403	2015-08-12	10	LOTOS	PLLOTOS00025	32,53	33,2	31,81	33,15	2	361460	1754	11801,57	0	0	0	PLN
404	2015-08-13	10	LOTOS	PLLOTOS00025	33,19	33,24	32,34	32,65	-1,51	260638	1597	8577,64	0	0	0	PLN
405	2015-08-14	10	LOTOS	PLLOTOS00025	32,66	32,69	31,85	31,92	-2,24	183115	2180	5874,97	0	0	0	PLN
406	2015-08-17	10	LOTOS	PLLOTOS00025	32,1	32,1	31,33	31,85	-0,22	179691	637	5713,08	0	0	0	PLN
407	2015-08-18	10	LOTOS	PLLOTOS00025	31,5	32,74	31,35	32,7	2,67	266889	1684	8641,82	0	0	0	PLN
408	2015-08-19	10	LOTOS	PLLOTOS00025	32,67	32,89	32,1	32,69	-0,03	176386	1069	5759,61	0	0	0	PLN
409	2015-08-20	10	LOTOS	PLLOTOS00025	32,39	32,84	31,9	31,9	-2,42	144848	1126	4673,69	0	0	0	PLN
410	2015-08-21	10	LOTOS	PLLOTOS00025	31,89	31,89	31,17	31,17	-2,29	270372	1333	8510,91	0	0	0	PLN
411	2015-08-24	10	LOTOS	PLLOTOS00025	30,97	30,97	29	29,52	-5,29	447666	2355	13291,9	0	0	0	PLN
412	2015-08-25	10	LOTOS	PLLOTOS00025	29	30,49	28,3	29,8	0,95	313379	1818	9367,06	0	0	0	PLN
413	2015-08-26	10	LOTOS	PLLOTOS00025	30,2	30,2	29,12	29,2	-2,01	277304	1670	8150,84	0	0	0	PLN
414	2015-08-27	10	LOTOS	PLLOTOS00025	29,4	31	29,4	30,01	2,77	410838	2305	12380,07	0	0	0	PLN
415	2015-08-28	10	LOTOS	PLLOTOS00025	30,66	30,66	29,72	30	-0,03	350717	1720	10522,78	0	0	0	PLN
416	2015-08-31	10	LOTOS	PLLOTOS00025	30	30	29,41	29,9	-0,33	269962	1024	8056,99	0	0	0	PLN
417	2015-09-01	10	LOTOS	PLLOTOS00025	29,6	29,8	29,2	29,23	-2,24	226714	945	6650,11	0	0	0	PLN
418	2015-09-02	10	LOTOS	PLLOTOS00025	29,45	29,69	29,04	29,18	-0,17	250202	2212	7323,92	0	0	0	PLN
419	2015-09-03	10	LOTOS	PLLOTOS00025	29,26	29,38	28,6	28,9	-0,96	383867	2013	11124,68	0	0	0	PLN
420	2015-09-04	10	LOTOS	PLLOTOS00025	28,76	29,19	28,32	29,19	1	438596	2392	12633,1	0	0	0	PLN
421	2015-09-07	10	LOTOS	PLLOTOS00025	29,19	29,37	29	29,09	-0,34	127230	984	3708,26	0	0	0	PLN
422	2015-09-08	10	LOTOS	PLLOTOS00025	29,05	29,54	29,05	29,2	0,38	167805	1257	4928,41	0	0	0	PLN
423	2015-09-09	10	LOTOS	PLLOTOS00025	29,71	30,26	29,41	30,1	3,08	260679	2021	7793,67	0	0	0	PLN
424	2015-09-10	10	LOTOS	PLLOTOS00025	29,97	31	29,97	30,96	2,86	351701	2058	10791,94	0	0	0	PLN
425	2015-09-11	10	LOTOS	PLLOTOS00025	31	31	30,39	30,5	-1,49	139688	978	4283,28	0	0	0	PLN
426	2015-09-14	10	LOTOS	PLLOTOS00025	30,5	31,05	30,5	30,87	1,21	418585	2251	12925,24	0	0	0	PLN
427	2015-09-15	10	LOTOS	PLLOTOS00025	30,9	31	30,5	30,98	0,36	129438	1058	3986,94	0	0	0	PLN
428	2015-09-16	10	LOTOS	PLLOTOS00025	30,8	30,9	30,28	30,56	-1,36	95122	652	2910,86	0	0	0	PLN
429	2015-09-17	10	LOTOS	PLLOTOS00025	30,6	30,98	30,12	30,29	-0,88	214776	969	6536,74	0	0	0	PLN
430	2015-09-18	10	LOTOS	PLLOTOS00025	30,1	30,67	30,01	30,67	1,25	365455	1049	11143,13	0	0	0	PLN
431	2015-09-21	10	LOTOS	PLLOTOS00025	30,75	30,87	30,13	30,47	-0,65	103045	1112	3143,39	0	0	0	PLN
432	2015-09-22	10	LOTOS	PLLOTOS00025	30,3	30,48	29,07	29,07	-4,59	253886	1553	7490,69	0	0	0	PLN
433	2015-09-23	10	LOTOS	PLLOTOS00025	29,15	29,4	27,72	27,92	-3,96	343317	2110	9759,44	0	0	0	PLN
434	2015-09-24	10	LOTOS	PLLOTOS00025	28	28,47	27,63	27,9	-0,07	334388	1048	9392,8	0	0	0	PLN
435	2015-09-25	10	LOTOS	PLLOTOS00025	28,48	28,48	27,75	28,1	0,72	202227	962	5643,33	0	0	0	PLN
436	2015-09-28	10	LOTOS	PLLOTOS00025	27,88	28,1	27,45	27,49	-2,17	150638	1154	4175,44	0	0	0	PLN
437	2015-09-29	10	LOTOS	PLLOTOS00025	27,3	28,17	27,03	27,59	0,36	178653	1497	4971,94	0	0	0	PLN
438	2015-09-30	10	LOTOS	PLLOTOS00025	28	28,23	27,65	27,95	1,3	318700	2089	8930,14	0	0	0	PLN
